Korean,Correct,CorrectKorean,Wrong,WrongKorean
"아침에 엄마에게 인사하기","Good morning, Mom!","엄마, 좋은 아침이에요!","I have a ticket.","나는 표가 있어요."
"친구에게 학교에 가자고 말하기","Let's go to school!","학교 가자!","It's bedtime.","잘 시간이에요."
"친구에게 함께 놀자고 제안하기","Do you want to play with me?","나랑 놀래?","I am cooking dinner.","나는 저녁을 요리하고 있어요."
"간식 시간이 되었을 때","I'm hungry.","배고파요.","It's raining outside.","밖에 비가 와요."
"아빠에게 물건 건네주기","Here you go, Dad!","아빠, 여기 있어요!","The sun is shining.","해가 빛나고 있어요."
"친구와 작별 인사하기","See you later!","나중에 봐!","The water is cold.","물이 차가워요."
"학교에서 선생님께 인사하기","Hello, teacher!","선생님, 안녕하세요!","The book is on the table.","책이 책상 위에 있어요."
"부모님께 도움 요청하기","Can you help me, please?","저 좀 도와주실래요?","I have a pet dinosaur.","나는 애완용 공룡이 있어요."
"친구에게 간식 나누기","Do you want some snacks?","간식 먹을래?","I live in the ocean.","나는 바다에 살아요."
"놀이터에서 친구에게 외치기","Look at me!","나를 봐!","The car is flying.","차가 날고 있어요."
"저녁에 엄마에게 질문하기","What's for dinner?","저녁으로 뭐 먹어요?","The sky is green.","하늘이 초록색이에요."
"친구에게 장난감 보여주기","This is my favorite toy!","이건 내가 제일 좋아하는 장난감이야!","The grass is blue.","풀이 파래요."
"할머니에게 사랑한다고 말하기","I love you, Grandma!","할머니, 사랑해요!","My shoes are dancing.","내 신발이 춤을 추고 있어요."
"친구와 함께 그림 그리기","Let's draw a picture!","그림 그리자!","The fish is climbing a tree.","물고기가 나무를 타고 있어요."
"가족과 함께 TV 보기","Let's watch a cartoon!","만화 보자!","My pillow is a robot.","내 베개가 로봇이에요."
"친구에게 책 읽어주기","I'll read this book to you.","이 책 읽어줄게.","The table is singing.","테이블이 노래하고 있어요."
"아빠와 함께 산책하기","Let's go for a walk, Dad!","아빠, 산책 가자!","My ice cream is talking.","내 아이스크림이 말하고 있어요."
"엄마에게 학교에서 있었던 일 말하기","Today at school, we had fun!","오늘 학교에서 재미있었어요!","The rain is sweet.","비가 달아요."
"친구에게 새로운 신발 보여주기","Look at my new shoes!","내 새 신발 봐!","My dog is driving.","내 강아지가 운전하고 있어요."
"저녁에 자러 가기 전 인사하기","Good night, everyone!","모두 안녕히 주무세요!","My bed is a boat.","내 침대가 배예요."
"친구에게 사탕 나누어주기","Do you want some candy?","사탕 먹을래?","The moon is jumping.","달이 점프하고 있어요."
"공원에서 공 던지기","Catch the ball!","공 받아!","The cat is reading.","고양이가 책을 읽고 있어요."
"엄마에게 도움 요청하기","Can you tie my shoes?","제 신발 끈 좀 묶어주실래요?","The fish is laughing.","물고기가 웃고 있어요."
"친구에게 비밀 이야기하기","I have a secret to tell you.","너에게 말해줄 비밀이 있어.","The tree is swimming.","나무가 수영하고 있어요."
"아빠와 축구 경기 보기","Let's watch the soccer game!","축구 경기 보자!","The mountain is dancing.","산이 춤추고 있어요."
"동생에게 장난감 빌려주기","You can play with my toy.","내 장난감 가지고 놀아도 돼.","The car is sleeping.","차가 자고 있어요."
"할아버지에게 이야기 들려드리기","I have a story for you, Grandpa!","할아버지께 들려드릴 이야기가 있어요!","The wind is barking.","바람이 짖고 있어요."
"친구에게 놀러 가자고 제안하기","Let's go to the park!","공원 가자!","My backpack is a television.","내 가방이 텔레비전이에요."
"엄마에게 장난감 찾기 부탁하기","Can you help me find my toy?","제 장난감 찾는 것 도와주실래요?","The book is crying.","책이 울고 있어요."
"아빠에게 자전거 타러 가자고 하기","Let's ride our bikes!","자전거 타러 가자!","The water is singing.","물이 노래하고 있어요."
"친구에게 생일 선물 주기","Happy birthday! Here is your gift!","생일 축하해! 여기 선물이야!","The chair is flying.","의자가 날고 있어요."
"동생에게 그림 설명해주기","This is a picture of a house.","이건 집 그림이야.","My hat is eating.","내 모자가 먹고 있어요."
"아침에 일어나서 아빠에게 인사하기","Good morning, Dad!","아빠, 좋은 아침이에요!","The flower is talking.","꽃이 말하고 있어요."
"친구와 같이 노래 부르기","Let's sing a song together!","같이 노래 부르자!","The rock is dancing.","돌이 춤추고 있어요."
"엄마에게 공원에 가자고 하기","Can we go to the park?","공원에 가도 돼요?","My pencil is running.","내 연필이 달리고 있어요."
"친구와 함께 퍼즐 맞추기","Let's do a puzzle!","퍼즐 맞추자!","The apple is walking.","사과가 걷고 있어요."
"할머니에게 커피 타드리기","Here's your coffee, Grandma.","할머니, 여기 커피요.","My bed is flying.","내 침대가 날고 있어요."
"친구에게 학교 끝나고 계획 말하기","Let's play after school!","학교 끝나고 놀자!","The banana is crying.","바나나가 울고 있어요."
"동생에게 그림 그려주기","I'll draw you a picture!","그림 그려줄게!","The car is swimming.","차가 수영하고 있어요."
"아빠에게 숙제 도와달라고 하기","Can you help me with my homework?","숙제 도와주실래요?","The phone is eating.","전화기가 먹고 있어요."
"친구에게 새로운 게임 보여주기","Want to see my new game?","내 새 게임 보고 싶어?","The clock is singing.","시계가 노래하고 있어요."
"가족과 함께 저녁 먹기","Dinner is ready!","저녁 준비됐어요!","The river is flying.","강이 날고 있어요."
"엄마에게 간식 부탁하기","Can I have a snack, please?","간식 먹어도 돼요?","The bed is talking.","침대가 말하고 있어요."
"친구에게 비밀 장소 말하기","I know a secret place!","비밀 장소 알아!","The bird is driving a car.","새가 차를 운전하고 있어요."
"할머니에게 안부 묻기","How are you, Grandma?","할머니, 어떻게 지내세요?","The shoe is sleeping.","신발이 자고 있어요."
"친구에게 장난감 자랑하기","Look at my cool toy!","내 멋진 장난감 봐!","The fridge is walking.","냉장고가 걷고 있어요."
"아빠에게 놀이터에 가자고 하기","Can we go to the playground?","놀이터에 가도 돼요?","The cloud is eating.","구름이 먹고 있어요."
